fips	state	year	president	vice	party	votes	votespc	ev	split
12	Florida	2012	Willard Mitt Romney	Paul Ryan	Republican	"4,163,447"	49.03%	0	-9.9999
13	Georgia	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,773,827"	45.39%	0	-0.078
13	Georgia	2012	Willard Mitt Romney	Paul Ryan	Republican	"2,078,688"	53.19%	16	-9.9999
15	Hawaii	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"306,658"	70.55%	4	0.4271
15	Hawaii	2012	Willard Mitt Romney	Paul Ryan	Republican	"121,015"	27.84%	0	-9.9999
16	Idaho	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"212,787"	32.40%	0	-0.3169
16	Idaho	2012	Willard Mitt Romney	Paul Ryan	Republican	"420,911"	64.09%	4	-9.9999
17	Illinois	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"3,019,512"	57.50%	20	0.1684
17	Illinois	2012	Willard Mitt Romney	Paul Ryan	Republican	"2,135,216"	40.66%	0	-9.9999
18	Indiana	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,154,275"	43.84%	0	-0.102
18	Indiana	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,422,872"	54.04%	11	-9.9999
19	Iowa	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"822,544"	51.99%	6	0.0581
19	Iowa	2012	Willard Mitt Romney	Paul Ryan	Republican	"730,617"	46.18%	0	-9.9999
20	Kansas	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"439,908"	38.05%	0	-0.2161
20	Kansas	2012	Willard Mitt Romney	Paul Ryan	Republican	"689,809"	59.66%	6	-9.9999
21	Kentucky	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"679,370"	37.78%	0	-0.2269
21	Kentucky	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,087,190"	60.47%	8	-9.9999
22	Louisiana	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"809,141"	40.58%	0	-0.172
22	Louisiana	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,152,262"	57.78%	8	-9.9999
23	Maine	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"401,306"	56.27%	4	0.1529
23	Maine	2012	Willard Mitt Romney	Paul Ryan	Republican	"292,276"	40.98%	0	-9.9999
24	Maryland	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,677,844"	61.97%	10	0.2607
24	Maryland	2012	Willard Mitt Romney	Paul Ryan	Republican	"971,869"	35.90%	0	-9.9999
25	Massachusetts	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,921,761"	60.67%	11	0.2315
25	Massachusetts	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,188,460"	37.52%	0	-9.9999
26	Michigan	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"2,564,569"	54.04%	16	0.0946
26	Michigan	2012	Willard Mitt Romney	Paul Ryan	Republican	"2,115,256"	44.58%	0	-9.9999
27	Minnesota	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,546,167"	52.65%	10	0.0769
27	Minnesota	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,320,225"	44.96%	0	-9.9999
28	Mississippi	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"562,949"	43.79%	0	-0.115
28	Mississippi	2012	Willard Mitt Romney	Paul Ryan	Republican	"710,746"	55.29%	6	-9.9999
29	Missouri	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,223,796"	44.28%	0	-0.0936
29	Missouri	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,482,440"	53.64%	10	-9.9999
30	Montana	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"201,839"	41.66%	0	-0.1364
30	Montana	2012	Willard Mitt Romney	Paul Ryan	Republican	"267,928"	55.30%	3	-9.9999
31	Nebraska	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"302,081"	38.03%	0	-0.2177
31	Nebraska	2012	Willard Mitt Romney	Paul Ryan	Republican	"475,064"	59.80%	5	-9.9999
32	Nevada	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"531,373"	52.36%	6	0.0668
32	Nevada	2012	Willard Mitt Romney	Paul Ryan	Republican	"463,567"	45.68%	0	-9.9999
33	New Hampshire	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"369,561"	51.98%	4	0.0558
33	New Hampshire	2012	Willard Mitt Romney	Paul Ryan	Republican	"329,918"	46.40%	0	-9.9999
34	New Jersey	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"2,126,610"	58.25%	14	0.1775
34	New Jersey	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,478,749"	40.50%	0	-9.9999
35	New Mexico	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"415,335"	52.99%	5	0.1015
35	New Mexico	2012	Willard Mitt Romney	Paul Ryan	Republican	"335,788"	42.84%	0	-9.9999
36	New York	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"4,485,877"	63.35%	29	0.2818
36	New York	2012	Willard Mitt Romney	Paul Ryan	Republican	"2,490,496"	35.17%	0	-9.9999
37	North Carolina	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"2,178,391"	48.35%	0	-0.0204
37	North Carolina	2012	Willard Mitt Romney	Paul Ryan	Republican	"2,270,395"	50.39%	15	-9.9999
38	North Dakota	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"124,827"	38.69%	0	-0.1963
38	North Dakota	2012	Willard Mitt Romney	Paul Ryan	Republican	"188,163"	58.32%	3	-9.9999
39	Ohio	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"2,827,709"	50.58%	18	0.0298
39	Ohio	2012	Willard Mitt Romney	Paul Ryan	Republican	"2,661,437"	47.60%	0	-9.9999
40	Oklahoma	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"443,547"	33.23%	0	-0.3354
40	Oklahoma	2012	Willard Mitt Romney	Paul Ryan	Republican	"891,325"	66.77%	7	-9.9999
41	Oregon	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"970,488"	54.24%	7	0.1209
41	Oregon	2012	Willard Mitt Romney	Paul Ryan	Republican	"754,175"	42.15%	0	-9.9999
42	Pennsylvania	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"2,990,274"	51.96%	20	0.0538
42	Pennsylvania	2012	Willard Mitt Romney	Paul Ryan	Republican	"2,680,434"	46.58%	0	-9.9999
44	Rhode Island	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"279,677"	62.70%	4	0.2746
44	Rhode Island	2012	Willard Mitt Romney	Paul Ryan	Republican	"157,204"	35.24%	0	-9.9999
45	South Carolina	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"865,941"	44.09%	0	-0.1047
45	South Carolina	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,071,645"	54.56%	9	-9.9999
46	South Dakota	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"145,039"	39.87%	0	-0.1802
46	South Dakota	2012	Willard Mitt Romney	Paul Ryan	Republican	"210,610"	57.89%	3	-9.9999
47	Tennessee	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"960,709"	39.04%	0	-0.2038
47	Tennessee	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,462,330"	59.42%	11	-9.9999
48	Texas	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"3,308,124"	41.35%	0	-0.1578
48	Texas	2012	Willard Mitt Romney	Paul Ryan	Republican	"4,569,843"	57.13%	38	-9.9999
49	Utah	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"251,813"	24.67%	0	-0.4788
49	Utah	2012	Willard Mitt Romney	Paul Ryan	Republican	"740,600"	72.55%	6	-9.9999
50	Vermont	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"199,239"	66.57%	3	0.356
50	Vermont	2012	Willard Mitt Romney	Paul Ryan	Republican	"92,698"	30.97%	0	-9.9999
51	Virginia	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,971,820"	51.16%	13	0.0388
51	Virginia	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,822,522"	47.28%	0	-9.9999
53	Washington	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,755,396"	55.80%	12	0.1477
53	Washington	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,290,670"	41.03%	0	-9.9999
54	West Virginia	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"238,269"	35.45%	0	-0.2669
54	West Virginia	2012	Willard Mitt Romney	Paul Ryan	Republican	"417,655"	62.14%	5	-9.9999
55	Wisconsin	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,620,985"	52.83%	10	0.0694
55	Wisconsin	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,407,966"	45.89%	0	-9.9999
56	Wyoming	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"69,286"	27.82%	0	-0.4082
56	Wyoming	2012	Willard Mitt Romney	Paul Ryan	Republican	"170,962"	68.64%	3	-9.9999
1	Alabama	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"813,479"	38.74%	0	-0.2158
1	Alabama	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,266,546"	60.32%	9	-9.9999
2	Alaska	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"123,594"	37.89%	0	-0.2153
2	Alaska	2008	"John S. McCain, III"	Sarah Palin	Republican	"193,841"	59.42%	3	-9.9999
4	Arizona	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,034,707"	44.91%	0	-0.0848
4	Arizona	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,230,111"	53.39%	10	-9.9999
5	Arkansas	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"422,310"	38.86%	0	-0.1986
5	Arkansas	2008	"John S. McCain, III"	Sarah Palin	Republican	"638,017"	58.72%	6	-9.9999
6	California	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"8,274,473"	60.92%	55	0.2402
6	California	2008	"John S. McCain, III"	Sarah Palin	Republican	"5,011,781"	36.90%	0	-9.9999
8	Colorado	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,288,633"	53.66%	9	0.0895
8	Colorado	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,073,629"	44.71%	0	-9.9999
9	Connecticut	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"997,773"	60.59%	7	0.2237
9	Connecticut	2008	"John S. McCain, III"	Sarah Palin	Republican	"629,428"	38.22%	0	-9.9999
10	Delaware	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"255,459"	61.91%	3	0.2498
10	Delaware	2008	"John S. McCain, III"	Sarah Palin	Republican	"152,374"	36.93%	0	-9.9999
11	District of Columbia	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"245,800"	92.46%	3	0.8593
11	District of Columbia	2008	"John S. McCain, III"	Sarah Palin	Republican	"17,367"	6.53%	0	-9.9999
12	Florida	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"4,282,367"	50.91%	27	0.0281
12	Florida	2008	"John S. McCain, III"	Sarah Palin	Republican	"4,046,219"	48.10%	0	-9.9999
13	Georgia	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,844,123"	46.90%	0	-0.052
13	Georgia	2008	"John S. McCain, III"	Sarah Palin	Republican	"2,048,759"	52.10%	15	-9.9999
15	Hawaii	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"325,871"	71.85%	4	0.4527
15	Hawaii	2008	"John S. McCain, III"	Sarah Palin	Republican	"120,566"	26.58%	0	-9.9999
16	Idaho	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"236,440"	35.91%	0	-0.253
16	Idaho	2008	"John S. McCain, III"	Sarah Palin	Republican	"403,012"	61.21%	4	-9.9999
17	Illinois	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"3,419,348"	61.83%	21	0.251
17	Illinois	2008	"John S. McCain, III"	Sarah Palin	Republican	"2,031,179"	36.73%	0	-9.9999
18	Indiana	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,374,039"	49.84%	11	0.0103
18	Indiana	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,345,648"	48.81%	0	-9.9999
19	Iowa	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"828,940"	53.93%	7	0.0954
19	Iowa	2008	"John S. McCain, III"	Sarah Palin	Republican	"682,379"	44.39%	0	-9.9999
20	Kansas	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"514,765"	41.55%	0	-0.1493
20	Kansas	2008	"John S. McCain, III"	Sarah Palin	Republican	"699,655"	56.48%	6	-9.9999
21	Kentucky	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"751,985"	41.15%	0	-0.1622
21	Kentucky	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,048,462"	57.37%	8	-9.9999
22	Louisiana	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"782,989"	39.93%	0	-0.1863
22	Louisiana	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,148,275"	58.56%	9	-9.9999
23	Maine	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"421,923"	57.71%	4	0.1733
23	Maine	2008	"John S. McCain, III"	Sarah Palin	Republican	"295,273"	40.38%	0	-9.9999
24	Maryland	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,629,467"	61.92%	10	0.2545
24	Maryland	2008	"John S. McCain, III"	Sarah Palin	Republican	"959,862"	36.47%	0	-9.9999
25	Massachusetts	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,904,098"	61.80%	12	0.2581
25	Massachusetts	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,108,854"	35.99%	0	-9.9999
26	Michigan	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"2,872,579"	57.33%	17	0.1644
26	Michigan	2008	"John S. McCain, III"	Sarah Palin	Republican	"2,048,639"	40.89%	0	-9.9999
27	Minnesota	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,573,354"	54.06%	10	0.1024
27	Minnesota	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,275,409"	43.82%	0	-9.9999
28	Mississippi	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"554,662"	43.00%	0	-0.1317
28	Mississippi	2008	"John S. McCain, III"	Sarah Palin	Republican	"724,597"	56.17%	6	-9.9999
29	Missouri	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,441,911"	49.23%	0	-0.0013
29	Missouri	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,445,814"	49.36%	11	-9.9999
30	Montana	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"232,159"	47.11%	0	-0.0238
30	Montana	2008	"John S. McCain, III"	Sarah Palin	Republican	"243,882"	49.49%	3	-9.9999
31	Nebraska	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"333,319"	41.60%	1	-0.1493
31	Nebraska	2008	"John S. McCain, III"	Sarah Palin	Republican	"452,979"	56.53%	4	-9.9999
32	Nevada	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"533,736"	55.15%	5	0.125
32	Nevada	2008	"John S. McCain, III"	Sarah Palin	Republican	"412,827"	42.65%	0	-9.9999
33	New Hampshire	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"384,826"	54.13%	4	0.0961
33	New Hampshire	2008	"John S. McCain, III"	Sarah Palin	Republican	"316,534"	44.52%	0	-9.9999
34	New Jersey	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"2,215,422"	57.14%	15	0.1553
34	New Jersey	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,613,207"	41.61%	0	-9.9999
35	New Mexico	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"472,422"	56.91%	5	0.1513
35	New Mexico	2008	"John S. McCain, III"	Sarah Palin	Republican	"346,832"	41.78%	0	-9.9999
36	New York	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"4,804,945"	62.88%	31	0.2685
36	New York	2008	"John S. McCain, III"	Sarah Palin	Republican	"2,752,771"	36.03%	0	-9.9999
37	North Carolina	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"2,142,651"	49.70%	15	0.0032
37	North Carolina	2008	"John S. McCain, III"	Sarah Palin	Republican	"2,128,474"	49.38%	0	-9.9999
38	North Dakota	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"141,403"	44.50%	0	-0.0865
38	North Dakota	2008	"John S. McCain, III"	Sarah Palin	Republican	"168,887"	53.15%	3	-9.9999
39	Ohio	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"2,940,044"	51.38%	20	0.0458
39	Ohio	2008	"John S. McCain, III"	Sarah Palin	Republican	"2,677,820"	46.80%	0	-9.9999
40	Oklahoma	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"502,496"	34.35%	0	-0.313
40	Oklahoma	2008	"John S. McCain, III"	Sarah Palin	Republican	"960,165"	65.65%	7	-9.9999
41	Oregon	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,037,291"	56.75%	7	0.1635
41	Oregon	2008	"John S. McCain, III"	Sarah Palin	Republican	"738,475"	40.40%	0	-9.9999
42	Pennsylvania	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"3,276,363"	54.47%	21	0.1032
42	Pennsylvania	2008	"John S. McCain, III"	Sarah Palin	Republican	"2,655,885"	44.15%	0	-9.9999
44	Rhode Island	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"296,571"	62.86%	4	0.278
44	Rhode Island	2008	"John S. McCain, III"	Sarah Palin	Republican	"165,391"	35.06%	0	-9.9999
45	South Carolina	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"862,449"	44.90%	0	-0.0897
45	South Carolina	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,034,896"	53.87%	8	-9.9999
46	South Dakota	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"170,924"	44.75%	0	-0.0841
46	South Dakota	2008	"John S. McCain, III"	Sarah Palin	Republican	"203,054"	53.16%	3	-9.9999
47	Tennessee	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,087,437"	41.79%	0	-0.1506
47	Tennessee	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,479,178"	56.85%	11	-9.9999
48	Texas	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"3,528,633"	43.63%	0	-0.1175
48	Texas	2008	"John S. McCain, III"	Sarah Palin	Republican	"4,479,328"	55.38%	34	-9.9999
49	Utah	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"327,670"	34.17%	0	-0.2798
49	Utah	2008	"John S. McCain, III"	Sarah Palin	Republican	"596,030"	62.15%	5	-9.9999
50	Vermont	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"219,262"	67.46%	3	0.3701
50	Vermont	2008	"John S. McCain, III"	Sarah Palin	Republican	"98,974"	30.45%	0	-9.9999
51	Virginia	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,959,532"	52.63%	13	0.063
51	Virginia	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,725,005"	46.33%	0	-9.9999
53	Washington	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,750,848"	57.34%	11	0.1708
53	Washington	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,229,216"	40.26%	0	-9.9999
54	West Virginia	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"303,857"	42.49%	0	-0.1309
54	West Virginia	2008	"John S. McCain, III"	Sarah Palin	Republican	"397,466"	55.58%	5	-9.9999
55	Wisconsin	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,677,211"	56.22%	10	0.1391
55	Wisconsin	2008	"John S. McCain, III"	Sarah Palin	Republican	"1,262,393"	42.31%	0	-9.9999
56	Wyoming	2008	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"82,868"	32.54%	0	-0.3224
56	Wyoming	2008	"John S. McCain, III"	Sarah Palin	Republican	"164,958"	64.78%	3	-9.9999
1	Alabama	2004	John Kerry	John Edwards	Democratic	"693,933"	36.84%	0	-0.2562
1	Alabama	2004	George W. Bush	Richard Cheney	Republican	"1,176,394"	62.46%	9	-9.9999
2	Alaska	2004	John Kerry	John Edwards	Democratic	"111,025"	35.52%	0	-0.2555
2	Alaska	2004	George W. Bush	Richard Cheney	Republican	"190,889"	61.07%	3	-9.9999
4	Arizona	2004	John Kerry	John Edwards	Democratic	"893,524"	44.32%	0	-0.1045
4	Arizona	2004	George W. Bush	Richard Cheney	Republican	"1,104,294"	54.77%	10	-9.9999
5	Arkansas	2004	John Kerry	John Edwards	Democratic	"469,953"	44.55%	0	-0.0976
5	Arkansas	2004	George W. Bush	Richard Cheney	Republican	"572,898"	54.31%	6	-9.9999
6	California	2004	John Kerry	John Edwards	Democratic	"6,745,485"	54.30%	55	0.0994
6	California	2004	George W. Bush	Richard Cheney	Republican	"5,509,826"	44.36%	0	-9.9999
8	Colorado	2004	John Kerry	John Edwards	Democratic	"1,001,725"	47.02%	0	-0.0467
8	Colorado	2004	George W. Bush	Richard Cheney	Republican	"1,101,256"	51.69%	9	-9.9999
9	Connecticut	2004	John Kerry	John Edwards	Democratic	"857,488"	54.31%	7	0.1036
9	Connecticut	2004	George W. Bush	Richard Cheney	Republican	"693,826"	43.95%	0	-9.9999
10	Delaware	2004	John Kerry	John Edwards	Democratic	"200,152"	53.34%	3	0.076
10	Delaware	2004	George W. Bush	Richard Cheney	Republican	"171,660"	45.74%	0	-9.9999
11	District of Columbia	2004	John Kerry	John Edwards	Democratic	"202,970"	89.18%	3	0.7984
11	District of Columbia	2004	George W. Bush	Richard Cheney	Republican	"21,256"	9.34%	0	-9.9999
12	Florida	2004	John Kerry	John Edwards	Democratic	"3,583,544"	47.09%	0	-0.0501
12	Florida	2004	George W. Bush	Richard Cheney	Republican	"3,964,522"	52.10%	27	-9.9999
13	Georgia	2004	John Kerry	John Edwards	Democratic	"1,366,149"	41.34%	0	-0.1659
13	Georgia	2004	George W. Bush	Richard Cheney	Republican	"1,914,254"	57.93%	15	-9.9999
15	Hawaii	2004	John Kerry	John Edwards	Democratic	"231,708"	54.01%	4	0.0875
15	Hawaii	2004	George W. Bush	Richard Cheney	Republican	"194,191"	45.26%	0	-9.9999
16	Idaho	2004	John Kerry	John Edwards	Democratic	"181,098"	30.26%	0	-0.3812
16	Idaho	2004	George W. Bush	Richard Cheney	Republican	"409,235"	68.38%	4	-9.9999
17	Illinois	2004	John Kerry	John Edwards	Democratic	"2,891,550"	54.82%	21	0.1034
17	Illinois	2004	George W. Bush	Richard Cheney	Republican	"2,345,946"	44.48%	0	-9.9999
18	Indiana	2004	John Kerry	John Edwards	Democratic	"969,011"	39.26%	0	-0.2068
18	Indiana	2004	George W. Bush	Richard Cheney	Republican	"1,479,438"	59.94%	11	-9.9999
19	Iowa	2004	John Kerry	John Edwards	Democratic	"741,898"	49.23%	0	-0.0067
19	Iowa	2004	George W. Bush	Richard Cheney	Republican	"751,957"	49.90%	7	-9.9999
20	Kansas	2004	John Kerry	John Edwards	Democratic	"434,993"	36.62%	0	-0.2538
20	Kansas	2004	George W. Bush	Richard Cheney	Republican	"736,456"	62.00%	6	-9.9999
21	Kentucky	2004	John Kerry	John Edwards	Democratic	"712,733"	39.68%	0	-0.1986
21	Kentucky	2004	George W. Bush	Richard Cheney	Republican	"1,069,439"	59.54%	8	-9.9999
22	Louisiana	2004	John Kerry	John Edwards	Democratic	"820,299"	42.22%	0	-0.145
22	Louisiana	2004	George W. Bush	Richard Cheney	Republican	"1,102,169"	56.72%	9	-9.9999
23	Maine	2004	John Kerry	John Edwards	Democratic	"396,842"	53.57%	4	0.0899
23	Maine	2004	George W. Bush	Richard Cheney	Republican	"330,201"	44.58%	0	-9.9999
24	Maryland	2004	John Kerry	John Edwards	Democratic	"1,334,493"	55.91%	10	0.1298
24	Maryland	2004	George W. Bush	Richard Cheney	Republican	"1,024,703"	42.93%	0	-9.9999
25	Massachusetts	2004	John Kerry	John Edwards	Democratic	"1,803,800"	61.94%	12	0.2516
25	Massachusetts	2004	George W. Bush	Richard Cheney	Republican	"1,071,109"	36.78%	0	-9.9999
26	Michigan	2004	John Kerry	John Edwards	Democratic	"2,479,183"	51.23%	17	0.0342
26	Michigan	2004	George W. Bush	Richard Cheney	Republican	"2,313,746"	47.81%	0	-9.9999
27	Minnesota	2004	John Kerry	John Edwards	Democratic	"1,445,014"	51.09%	9	0.0348
27	Minnesota	2004	George W. Bush	Richard Cheney	Republican	"1,346,695"	47.61%	0	-9.9999
28	Mississippi	2004	John Kerry	John Edwards	Democratic	"458,094"	39.75%	0	-0.1969
28	Mississippi	2004	George W. Bush	Richard Cheney	Republican	"684,981"	59.44%	6	-9.9999
